,Name,City,StartPrice,DistanceFromCityCentre,OverallScore,RatingCategory,Atmosphere,Cleanliness,Facilities,Location,Security,Staff,ValueForMoney,Longitude,Latitude
278,RYOKAN＆HOSTEL WASABI Nippori,Tokyo,2000,9.1,8.7,Fabulous,8.2,8.6,8.9,8.5,8.8,8.9,8.9,139.777723,35.732782
281,Sakura Hostel Asakusa,Tokyo,2400,9.8,8.6,Fabulous,7.7,8.6,8.4,8.9,9.0,9.0,8.7,139.7948263,35.7160224
282,Sakura Hotel Ikebukuro,Tokyo,2300,5.1,8.3,Fabulous,7.3,8.2,7.9,9.0,7.8,9.1,8.8,139.70880259999998,35.733613899999995
283,Sakura Hotel Nippori,Tokyo,1900,7.8,9.1,Superb,8.6,9.4,8.9,9.1,9.7,9.4,8.6,139.764175,35.7281692
288,Sheena and Ippei,Tokyo,3700,4.2,9.1,Superb,10.0,10.0,8.0,8.0,8.0,10.0,10.0,139.6930044,35.72735529999999
290,Shibamata FU-TEN Bed and Local,Tokyo,3000,18.5,4.9,Rating,2.0,4.0,2.0,2.0,10.0,10.0,4.0,139.8778804,35.7597827
294,Space Hostel Tokyo,Tokyo,2200,9.1,9.1,Superb,8.6,9.6,9.0,8.7,9.2,9.4,9.2,139.785652,35.718662
296,Stayto (former: Oak Hotel),Tokyo,2500,8.7,9.0,Superb,8.3,9.1,8.5,9.2,9.4,9.5,8.8,139.78462,35.711382
300,Tadaima Japan Shinjuku Ryokan,Tokyo,7600,2.8,8.4,Fabulous,8.0,9.0,9.0,8.0,8.0,9.0,8.0,139.7229976,35.6897213
310,The Millennials Shibuya,Tokyo,6300,3.1,9.3,Superb,8.9,10.0,9.3,9.8,9.5,8.9,8.7,139.69969540000002,35.6621966
313,The Prime Pod Ginza Tokyo,Tokyo,3700,7.2,9.0,Superb,7.9,9.2,9.2,9.5,9.6,9.0,8.4,139.7670874,35.6692691
315,Toco Tokyo Heritage Hostel,Tokyo,3000,9.1,9.2,Superb,10.0,10.0,7.3,8.7,8.7,10.0,10.0,139.7839281,35.7220369
316,Tokyo Central Youth Hostel,Tokyo,1003200,4.8,8.0,Fabulous,6.0,10.0,10.0,8.0,8.0,8.0,6.0,139.74352199999998,35.700821000000005
317,Tokyo Hostel ENISHI,Tokyo,3300,4.7,8.6,Fabulous,7.5,9.0,9.0,8.5,9.0,9.0,8.5,139.67943630000002,35.6482038
318,Tokyo Hostel Fuji,Tokyo,2000,1.6,9.2,Superb,8.8,9.3,9.0,9.0,9.4,9.8,9.2,139.674336,35.692834999999995
319,Tokyo House Inn,Tokyo,3800,1.5,6.8,Good,6.0,6.7,6.7,8.0,6.0,7.3,6.7,139.7038187,35.69900620000001
320,Tokyo Hutte,Tokyo,3000,11.3,7.1,Very Good,8.0,6.0,4.0,8.0,10.0,8.0,6.0,139.8150041,35.7088828
321,Tokyo Sumidagawa Youth Hostel,Tokyo,2500,8.9,7.7,Very Good,6.5,6.0,8.0,8.0,9.0,9.0,7.5,139.78922340000003,35.6991309
322,TOKYO-W-INN Asakusa,Tokyo,2500,9.3,8.9,Fabulous,8.2,9.2,8.9,8.9,8.8,9.4,9.2,139.79230880000003,35.708316100000005
